<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 'AGENT']>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 'AGENT', 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 'AGENT', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 'AGENT', 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 'AGENT', 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 'AGENT', 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'AGENT', 'C', 15]>
<Node [0, 'A', 2, 'AGENT', 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 'AGENT', 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 'AGENT', 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'AGENT', 'B', 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 'AGENT', 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'AGENT', 'B', 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'AGENT', 10, 11, 12, 'B', 'C', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'AGENT', 13, 'C', 15]>
<Node [0, 'A', 'AGENT', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 'AGENT', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 'AGENT', 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 'AGENT', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 'AGENT', 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 'AGENT', 6, 7, 8, 9, 'B', 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'C', 'B', 11, 12, 'AGENT', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 9, 'B', 11, 12, 'C', 14, 15]>
<Node [0, 'A', 'AGENT', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 'AGENT', 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 'AGENT', 6, 7, 8, 9, 'B', 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'C', 'B', 11, 12, 'AGENT', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 9, 'B', 11, 12, 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 'AGENT', 6, 7, 8, 9, 10, 11, 12, 'B', 'C', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 9, 'AGENT', 11, 12, 'B', 'C', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 9, 10, 11, 12, 'B', 'C', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 'B', 10, 11, 12, 13, 'C', 15]>
<Node [0, 'AGENT', 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'AGENT', 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 'AGENT', 2, 3, 4, 'A', 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 15]>
